ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default"
78,variable,,"Kit 3 Peças. Tanga Fio Conforto Petrice 1102",1,0,visible,,"Tanga Fio Conforto Petrice 1102
\n
\nTecido Romantic
\n
\nForro: 100% Algodão
\n
\nCompra Garantida
\n
\n-Direto De Fábrica
\n
\n-Envio Imediato
\n
\n-Conforto e Qualidade Garantida
\n
\n<b>*Importante*</b>
\n
\n- O desvio cores pode variar devido a diferentes configurações da tela do seu dispositivo.
\n
\n- Antes da entrega, nossos produtos passam por um rigoroso controle de qualidade para que cheguem até o cliente em perfeitas condições, entretanto, em casos de desacordo com o proposto, o comprador deverá contatar o nosso SAC no prazo de até 7 dias corridos após o recebimento.
\n
\nDICAS DE COMO CUIDAR DO SEU PRODUTO :
\n
\n- Não lave seu produto em eletrodomésticos, pois a movimentação realizada é muito forte e isso pode danificar o tecido/renda que é muito sensível.
\n
\n- Lave à mão com sabão neutro, com muito cuidado, de preferência do avesso. Hoje em dia existem produtos direcionados para lavagem de roupas íntimas.
\n
\n- Evite deixar sua lingerie de molho.
\n
\n- Não lave a sua lingerie à seco.
\n
\n- Lave sua lingerie com água na temperatura ambiente. Grande parte da composição das lingeries possuem elasticidade, a água quente arruína as fibras elásticas, além de aumentar a propensão de formação de fungos no tecido.
\n
\n- Não use alvejantes.
\n
\n- Não torça nem centrifugue na máquina a sua lingerie, principalmente os sutiãs. Ao fazer isso você pode criar vincos de rugas no bojo do sutiã, além do risco de arrancar o aro.
\n
\n- Cuidados extras com peças com cores neon ou fluorescente, essas cores tendem a soltar pigmentos na água. Lavagem desse tipo de peça deve ser feito com sabão neutro. Peças dessas cores não devem ser penduradas, devem ser colocadas na horizontal para secagem.
\n
\n- Não misturar com produtos de outra cor.
\n
\n<img class="" wp-image-79 aligncenter"" src=""http://nie.ddns.net:8080/vision/makely/wp-content/uploads/2023/02/tabela-medidas-300x210.webp"" alt="""" width=""629"" height=""441"" />
\n
\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,,,Pijamas,,,"http://nie.ddns.net:8080/vision/makely/wp-content/uploads/2023/02/Tanga-Fio-Conforto-1102.jpeg, http://nie.ddns.net:8080/vision/makely/wp-content/uploads/2023/02/Tanga-Fio-Conforto.1102.jpeg, http://nie.ddns.net:8080/vision/makely/wp-content/uploads/2023/02/Tanga-Fio-Conforto-1102-..jpeg",,,,,,,,,0,Tamanho,"P, M, G, GG",1,0,,,,,,
85,variation,,"Kit 3 Peças. Tanga Fio Conforto Petrice 1102",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"17,97",,,,,,,id:78,,,,,,0,Tamanho,,,0,,,,,,
86,variable,,"Cinta De Compressão Cema",1,0,visible,,"Tanga Fio Conforto Petrice 1102
\n
\nTecido Romantic
\n
\nForro: 100% Algodão
\n
\nCompra Garantida
\n
\n-Direto De Fábrica
\n
\n-Envio Imediato
\n
\n-Conforto e Qualidade Garantida
\n
\n<b>*Importante*</b>
\n
\n- O desvio cores pode variar devido a diferentes configurações da tela do seu dispositivo.
\n
\n- Antes da entrega, nossos produtos passam por um rigoroso controle de qualidade para que cheguem até o cliente em perfeitas condições, entretanto, em casos de desacordo com o proposto, o comprador deverá contatar o nosso SAC no prazo de até 7 dias corridos após o recebimento.
\n
\nDICAS DE COMO CUIDAR DO SEU PRODUTO :
\n
\n- Não lave seu produto em eletrodomésticos, pois a movimentação realizada é muito forte e isso pode danificar o tecido/renda que é muito sensível.
\n
\n- Lave à mão com sabão neutro, com muito cuidado, de preferência do avesso. Hoje em dia existem produtos direcionados para lavagem de roupas íntimas.
\n
\n- Evite deixar sua lingerie de molho.
\n
\n- Não lave a sua lingerie à seco.
\n
\n- Lave sua lingerie com água na temperatura ambiente. Grande parte da composição das lingeries possuem elasticidade, a água quente arruína as fibras elásticas, além de aumentar a propensão de formação de fungos no tecido.
\n
\n- Não use alvejantes.
\n
\n- Não torça nem centrifugue na máquina a sua lingerie, principalmente os sutiãs. Ao fazer isso você pode criar vincos de rugas no bojo do sutiã, além do risco de arrancar o aro.
\n
\n- Cuidados extras com peças com cores neon ou fluorescente, essas cores tendem a soltar pigmentos na água. Lavagem desse tipo de peça deve ser feito com sabão neutro. Peças dessas cores não devem ser penduradas, devem ser colocadas na horizontal para secagem.
\n
\n- Não misturar com produtos de outra cor.
\n
\n<img class="" wp-image-79 aligncenter"" src=""http://nie.ddns.net:8080/vision/makely/wp-content/uploads/2023/02/tabela-medidas-300x210.webp"" alt="""" width=""629"" height=""441"" />
\n
\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,,,Pijamas,,,"http://nie.ddns.net:8080/vision/makely/wp-content/uploads/2023/02/Cinta-De-Compressao-Cema.jpg, http://nie.ddns.net:8080/vision/makely/wp-content/uploads/2023/02/Tanga-Fio-Conforto.1102.jpeg, http://nie.ddns.net:8080/vision/makely/wp-content/uploads/2023/02/Tanga-Fio-Conforto-1102-..jpeg",,,,,,,,,0,Tamanho,"P, M, G, GG",1,0,M,Cor,"Branco, Preto, Lilás, Rosa",1,0,Branco
88,variable,,"Kit 3 Peças. Tanga Fio Renda Beka 1081",1,0,visible,,"Tanga Fio Conforto Petrice 1102
\n
\nTecido Romantic
\n
\nForro: 100% Algodão
\n
\nCompra Garantida
\n
\n-Direto De Fábrica
\n
\n-Envio Imediato
\n
\n-Conforto e Qualidade Garantida
\n
\n<b>*Importante*</b>
\n
\n- O desvio cores pode variar devido a diferentes configurações da tela do seu dispositivo.
\n
\n- Antes da entrega, nossos produtos passam por um rigoroso controle de qualidade para que cheguem até o cliente em perfeitas condições, entretanto, em casos de desacordo com o proposto, o comprador deverá contatar o nosso SAC no prazo de até 7 dias corridos após o recebimento.
\n
\nDICAS DE COMO CUIDAR DO SEU PRODUTO :
\n
\n- Não lave seu produto em eletrodomésticos, pois a movimentação realizada é muito forte e isso pode danificar o tecido/renda que é muito sensível.
\n
\n- Lave à mão com sabão neutro, com muito cuidado, de preferência do avesso. Hoje em dia existem produtos direcionados para lavagem de roupas íntimas.
\n
\n- Evite deixar sua lingerie de molho.
\n
\n- Não lave a sua lingerie à seco.
\n
\n- Lave sua lingerie com água na temperatura ambiente. Grande parte da composição das lingeries possuem elasticidade, a água quente arruína as fibras elásticas, além de aumentar a propensão de formação de fungos no tecido.
\n
\n- Não use alvejantes.
\n
\n- Não torça nem centrifugue na máquina a sua lingerie, principalmente os sutiãs. Ao fazer isso você pode criar vincos de rugas no bojo do sutiã, além do risco de arrancar o aro.
\n
\n- Cuidados extras com peças com cores neon ou fluorescente, essas cores tendem a soltar pigmentos na água. Lavagem desse tipo de peça deve ser feito com sabão neutro. Peças dessas cores não devem ser penduradas, devem ser colocadas na horizontal para secagem.
\n
\n- Não misturar com produtos de outra cor.
\n
\n<img class="" wp-image-79 aligncenter"" src=""http://nie.ddns.net:8080/vision/makely/wp-content/uploads/2023/02/tabela-medidas-300x210.webp"" alt="""" width=""629"" height=""441"" />
\n
\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,,,"Lingeries > Calcinhas, Conjuntos, Lingeries",,,"http://nie.ddns.net:8080/vision/makely/wp-content/uploads/2023/02/Tanga-Beka-1081.jpeg, http://nie.ddns.net:8080/vision/makely/wp-content/uploads/2023/02/Tanga-Fio-Conforto.1102.jpeg, http://nie.ddns.net:8080/vision/makely/wp-content/uploads/2023/02/Tanga-Fio-Conforto-1102-..jpeg",,,,,,,,,0,Tamanho,"P, M, G, GG",1,0,,,,,,
89,variation,,"Kit 3 Peças. Tanga Fio Renda Beka 1081",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"17,97",,,,,,,id:88,,,,,,0,Tamanho,,,0,,,,,,
91,variable,,"Kit 3 Peças. Tanga Fio Conforto Petrice 1105",1,0,visible,,"Tanga Fio Conforto Petrice 1102
\n
\nTecido Romantic
\n
\nForro: 100% Algodão
\n
\nCompra Garantida
\n
\n-Direto De Fábrica
\n
\n-Envio Imediato
\n
\n-Conforto e Qualidade Garantida
\n
\n<b>*Importante*</b>
\n
\n- O desvio cores pode variar devido a diferentes configurações da tela do seu dispositivo.
\n
\n- Antes da entrega, nossos produtos passam por um rigoroso controle de qualidade para que cheguem até o cliente em perfeitas condições, entretanto, em casos de desacordo com o proposto, o comprador deverá contatar o nosso SAC no prazo de até 7 dias corridos após o recebimento.
\n
\nDICAS DE COMO CUIDAR DO SEU PRODUTO :
\n
\n- Não lave seu produto em eletrodomésticos, pois a movimentação realizada é muito forte e isso pode danificar o tecido/renda que é muito sensível.
\n
\n- Lave à mão com sabão neutro, com muito cuidado, de preferência do avesso. Hoje em dia existem produtos direcionados para lavagem de roupas íntimas.
\n
\n- Evite deixar sua lingerie de molho.
\n
\n- Não lave a sua lingerie à seco.
\n
\n- Lave sua lingerie com água na temperatura ambiente. Grande parte da composição das lingeries possuem elasticidade, a água quente arruína as fibras elásticas, além de aumentar a propensão de formação de fungos no tecido.
\n
\n- Não use alvejantes.
\n
\n- Não torça nem centrifugue na máquina a sua lingerie, principalmente os sutiãs. Ao fazer isso você pode criar vincos de rugas no bojo do sutiã, além do risco de arrancar o aro.
\n
\n- Cuidados extras com peças com cores neon ou fluorescente, essas cores tendem a soltar pigmentos na água. Lavagem desse tipo de peça deve ser feito com sabão neutro. Peças dessas cores não devem ser penduradas, devem ser colocadas na horizontal para secagem.
\n
\n- Não misturar com produtos de outra cor.
\n
\n<img class="" wp-image-79 aligncenter"" src=""http://nie.ddns.net:8080/vision/makely/wp-content/uploads/2023/02/tabela-medidas-300x210.webp"" alt="""" width=""629"" height=""441"" />
\n
